Solar_Irradiance,Wind_Speed,Temperature,Humidity,Panel_Type,Battery_Storage_Capacity,Wind_Turbine_Efficiency,Cloud_Cover,Time_of_Day,Season,Energy_Output_Class
0.6141627026161989,0.6168840719663948,0.7633080771801298,0.8887160946127464,0.7650431899704897,0.5866430124456344,0.3416160624673348,0.08539769213508108,0.9470313969234275,0.5372522720033387,Low
0.1881999816798623,0.5341016900858655,0.7454670382070553,0.45313633147849963,0.40512607333686,0.9148151491912277,0.028864839458030755,0.6265033072660964,0.6837348778214267,0.01858033405509918,High
0.28527799694087974,0.2182694828533861,0.24582713263321632,0.3152386284010211,0.8725205168461819,0.3206647262228499,0.39508852235663283,0.2807519507463412,0.7978143225530598,0.9535568067200983,Moderate
0.4759266973649633,0.16424106722315446,0.7288221800927455,0.9412195287456574,0.5247075411822658,0.820027822265425,0.930480819579867,0.5070029904961719,0.1764266966024014,0.8448160525721434,Low
0.9543459516233008,0.2367980345961188,0.7477766382721007,0.849517666192678,0.022250351926330958,0.009475131261696523,0.6263010947738659,0.7733235527040767,0.7216585494841574,0.26054501410973785,High
0.2473513718177428,0.5025296267016556,0.39745392566702686,0.843668375419441,0.7167136096019268,0.00364670278467627,0.08395570307090161,0.7056459363630133,0.6180508083353723,0.6164589351662961,Low
0.731645903919888,0.27117778571120343,0.21042048374151823,0.5122847430502131,0.1102329087212327,0.7597116603389674,0.8849936133950259,0.11890301767799338,0.09155173575124609,0.9232393837281877,Moderate
0.4394482232929203,0.9476025016077222,0.5212708068918691,0.789438398815455,0.7893796334619244,0.7614475821271212,0.26887484934151484,0.5911847871160733,0.11315900658967626,0.09601101211365137,Low
0.2978473483600218,0.46386522142884756,0.9213975880001963,0.17935335926455187,0.16810254980518002,0.7889771878522938,0.24376949308272744,0.9691165309407386,0.10844361775126188,0.5030294807967006,Moderate
0.45591593702211375,0.058796016544637064,0.639616732432062,0.5732229575562436,0.34544638580551346,0.9300268378881623,0.2970909687803208,0.15676943733500226,0.7243569348298357,0.4562430258462945,High
0.07120671754123253,0.7292664058366334,0.1729224976272612,0.9838459228475457,0.7612714296253603,0.11790631182028422,0.5772022361259574,0.8529070877254149,0.14171520824757244,0.4102050052835323,High
0.7986873709303625,0.3288452882089896,0.6827569247335199,0.29095843051796166,0.9542313574764216,0.23198498498368836,0.5446880934339766,0.7025480805537769,0.46773227111447047,0.835588608892925,Low
0.24330192798296713,0.6534889320582475,0.42720302728183457,0.7943523292476752,0.37143395064673235,0.9037249203738076,0.4914137546228817,0.7740033129097597,0.35698180587775774,0.38064614669745733,High
